Sample,link,miRW-Imp
TCGA_CU_A0YN_01A,PSMA4_USP14,2.3216
TCGA_CU_A0YN_01A,PSMA4_PSMD4,2.58413
TCGA_CU_A0YN_01A,PSMA4_PSMC2,2.19327
TCGA_CU_A0YN_01A,PSMA4_PSMA7,3.09611
TCGA_CU_A0YN_01A,PSMA4_PSMC3,2.73583
TCGA_CU_A0YN_01A,PSMA4_PSMC4,2.53714
TCGA_CU_A0YN_01A,PSMA4_PSMC5,2.58416
TCGA_CU_A0YN_01A,PSMA4_PSME4,2.1908
TCGA_CU_A0YN_01A,PSMA4_UBA52,2.83688
TCGA_CU_A0YN_01A,PSMA4_PSMD11,2.38646
TCGA_CU_A0YN_01A,AHSA1_FKBP4,2.64006
TCGA_CU_A0YN_01A,AKT1_FKBP4,2.09933
TCGA_CU_A0YN_01A,AR_FKBP4,1.26377
TCGA_CU_A0YN_01A,DNAJB1_FKBP4,2.49674
TCGA_CU_A0YN_01A,FKBP4_STIP1,2.91198
TCGA_CU_A0YN_01A,FKBP4_NR3C2,1.24167
TCGA_CU_A0YN_01A,FKBP4_FKBP5,1.93357
TCGA_CU_A0YN_01A,FKBP4_HSPA8,3.17186
TCGA_CU_A0YN_01A,FKBP4_GLMN,2.27231
TCGA_CU_A0YN_01A,FKBP4_MTOR,2.21357
TCGA_CU_A0YN_01A,FKBP4_PTGES3,3.13145
TCGA_CU_A0YN_01A,FKBP4_PPID,2.19288
TCGA_CU_A0YN_01A,FKBP4_HSP90AB1,3.47783
TCGA_CU_A0YN_01A,FKBP4_HSPA4,2.75187
TCGA_CU_A0YN_01A,FKBP4_NR3C1,2.22848
TCGA_CU_A0YN_01A,FKBP4_HSP90AA1,3.55333
TCGA_CU_A0YN_01A,FKBP4_PGR,1.24496
TCGA_CU_A0YN_01A,FKBP4_PHLPP1,1.91528
TCGA_CU_A0YN_01A,AKAP11_PRKACA,1.33436
TCGA_CU_A0YN_01A,AKAP11_PRKACB,1.17125
TCGA_CU_A0YN_01A,CFTR_PRKACA,1.02122
TCGA_CU_A0YN_01A,GABARAPL2_PRKACA,1.76685
TCGA_CU_A0YN_01A,CFTR_PRKACB,0.81605
TCGA_CU_A0YN_01A,GABARAPL2_PRKACB,1.56654
TCGA_CU_A0YN_01A,AKNAD1_CD74,1.98916
TCGA_CU_A0YN_01A,APP_CD74,3.28701
TCGA_CU_A0YN_01A,CD44_CD74,3.54968
TCGA_CU_A0YN_01A,CD74_RPL30,3.24556
TCGA_CU_A0YN_01A,CD74_RPS17,2.56017
TCGA_CU_A0YN_01A,CD74_MRPL36,3.03206
TCGA_CU_A0YN_01A,CD74_HLA-DPB1,3.03845
TCGA_CU_A0YN_01A,CD74_RSAD1,2.55922
TCGA_CU_A0YN_01A,CD74_RPL4,3.60247
TCGA_CU_A0YN_01A,CD74_RPS7,3.49715
TCGA_CU_A0YN_01A,CD74_RPLP1,3.48104
TCGA_CU_A0YN_01A,CD74_HLA-DQB1,2.96843
TCGA_CU_A0YN_01A,CD74_RPS5,3.65165
TCGA_CU_A0YN_01A,CD74_HLA-DOA,2.54649
TCGA_CU_A0YN_01A,CD74_RPL26L1,2.8283
TCGA_CU_A0YN_01A,CD74_MRPL33,2.98856
TCGA_CU_A0YN_01A,CD74_RPS28,3.48766
TCGA_CU_A0YN_01A,CD74_RPS25,3.57231
TCGA_CU_A0YN_01A,CD74_MED1,2.7605
TCGA_CU_A0YN_01A,CD74_CXCR4,3.104
TCGA_CU_A0YN_01A,CD74_RPL10A,3.34327
TCGA_CU_A0YN_01A,CD74_HLA-DQA2,3.13849
TCGA_CU_A0YN_01A,CD74_MRPL12,2.83412
TCGA_CU_A0YN_01A,CD74_MRPL21,2.98132
TCGA_CU_A0YN_01A,CD74_RPL8,3.66727
TCGA_CU_A0YN_01A,CD74_RPS20,3.46993
TCGA_CU_A0YN_01A,CD74_MRPS9,2.65976
TCGA_CU_A0YN_01A,CD74_CTSS,2.95135
TCGA_CU_A0YN_01A,CD74_RPL23A,3.26823
TCGA_CU_A0YN_01A,CD74_RPL17,2.37343
TCGA_CU_A0YN_01A,CD74_HLA-DQB2,2.84355
TCGA_CU_A0YN_01A,CD74_RPS8,3.61969
TCGA_CU_A0YN_01A,CD74_MRPL17,3.10934
TCGA_CU_A0YN_01A,CD74_RPL22L1,2.69981
TCGA_CU_A0YN_01A,CD74_RPS15,3.32707
TCGA_CU_A0YN_01A,CD74_RPS2,3.61743
TCGA_CU_A0YN_01A,CD74_RPL24,3.53227
TCGA_CU_A0YN_01A,CD74_RPL37A,3.26316
TCGA_CU_A0YN_01A,CD74_MRPS6,2.72586
TCGA_CU_A0YN_01A,CD74_UBA52,3.30364
TCGA_CU_A0YN_01A,CD74_RPS6,3.69221
TCGA_CU_A0YN_01A,CD74_RPL26,2.91455
TCGA_CU_A0YN_01A,CD74_LGMN,2.90593
TCGA_CU_A0YN_01A,CD74_TUFM,3.42063
TCGA_CU_A0YN_01A,CD74_RPS24,3.42334
TCGA_CU_A0YN_01A,CD74_RPL11,3.58986
TCGA_CU_A0YN_01A,CD74_RPS27L,2.48031
TCGA_CU_A0YN_01A,CD74_RPS21,3.60062
TCGA_CU_A0YN_01A,CD74_RPL9,3.20985
TCGA_CU_A0YN_01A,CD74_RPL18,3.4432
TCGA_CU_A0YN_01A,CD74_HLA-DMA,2.9399
TCGA_CU_A0YN_01A,CD74_RPL7,3.34137
TCGA_CU_A0YN_01A,CD74_IMP3,2.70152
TCGA_CU_A0YN_01A,CD74_MRPL32,2.91776
TCGA_CU_A0YN_01A,CD74_RPL13,3.43972
TCGA_CU_A0YN_01A,CD74_MIF,1.94979
TCGA_CU_A0YN_01A,CD74_RPL6,3.49569
TCGA_CU_A0YN_01A,CD74_RPL36,3.49224
TCGA_CU_A0YN_01A,CD74_RPL27A,3.44977
TCGA_CU_A0YN_01A,CD74_HLA-DQA1,2.92406
TCGA_CU_A0YN_01A,CD74_RPS10,2.11843
TCGA_CU_A0YN_01A,CD74_HLA-DRB1,3.57242
TCGA_CU_A0YN_01A,CD74_RPL7A,3.61887
TCGA_CU_A0YN_01A,CD74_RPL23,3.27723
TCGA_CU_A0YN_01A,CD74_RPL7L1,2.79941
TCGA_CU_A0YN_01A,CD74_RPS19,3.5348
TCGA_CU_A0YN_01A,CD74_MRPS16,3.09896
TCGA_CU_A0YN_01A,CD74_RACK1,3.48519
TCGA_CU_A0YN_01A,CD74_RPL15,3.19883
TCGA_CU_A0YN_01A,CD74_RPL35,3.59288
TCGA_CU_A0YN_01A,CD74_RPSA,3.45338
TCGA_CU_A0YN_01A,CD74_RPS12,3.67702
TCGA_CU_A0YN_01A,CD74_RPL19,3.5308
TCGA_CU_A0YN_01A,CD74_RPS16,3.5092
TCGA_CU_A0YN_01A,CD74_RPL5,3.67107
TCGA_CU_A0YN_01A,CD74_RPL34,3.24671
TCGA_CU_A0YN_01A,CD74_RPS18,3.63499
TCGA_CU_A0YN_01A,CD74_RPL10,3.29282
TCGA_CU_A0YN_01A,CD74_CXCR2,2.10732
TCGA_CU_A0YN_01A,CD74_RPL12,3.55946
TCGA_CU_A0YN_01A,CD74_CTSB,3.32447
TCGA_CU_A0YN_01A,CD74_RPLP2,3.39161
TCGA_CU_A0YN_01A,CD74_IFI35,2.77573
TCGA_CU_A0YN_01A,CD74_RPS9,3.4354
TCGA_CU_A0YN_01A,CD74_RPL38,3.43759
TCGA_CU_A0YN_01A,CD74_RPL39,3.03538
TCGA_CU_A0YN_01A,CD74_RPL13A,3.37647
TCGA_CU_A0YN_01A,CD74_RPL10L,1.82609
TCGA_CU_A0YN_01A,CD74_RPS23,3.04194
TCGA_CU_A0YN_01A,CD74_RSRC1,2.63496
TCGA_CU_A0YN_01A,CD74_MRPL20,2.97174
TCGA_CU_A0YN_01A,CD74_HLA-DMB,2.63821
TCGA_CU_A0YN_01A,CD74_FAU,3.55219
TCGA_CU_A0YN_01A,CD74_PDCD11,2.87273
TCGA_CU_A0YN_01A,CD74_RPL22,2.75278
TCGA_CU_A0YN_01A,CD74_RPL29,3.519
TCGA_CU_A0YN_01A,CD74_RPL27,3.55466
TCGA_CU_A0YN_01A,CD74_RPLP0,3.61155
TCGA_CU_A0YN_01A,CD74_RPL32,3.4621
TCGA_CU_A0YN_01A,CD74_EIF1AY,2.63189
TCGA_CU_A0YN_01A,CD74_RPS27A,3.54511
TCGA_CU_A0YN_01A,CD74_HLA-DOB,2.19062
TCGA_CU_A0YN_01A,CD74_RPS3A,3.23441
TCGA_CU_A0YN_01A,CD74_HLA-DRB5,3.18717
TCGA_CU_A0YN_01A,CD74_CTSL,3.30005
TCGA_CU_A0YN_01A,CD74_RPS13,3.54513
TCGA_CU_A0YN_01A,CD74_RPS3,3.57675
TCGA_CU_A0YN_01A,CD74_RPL3L,1.85817
TCGA_CU_A0YN_01A,CD74_HLA-DPA1,3.07
TCGA_CU_A0YN_01A,CD74_MRNIP,2.18246
TCGA_CU_A0YN_01A,CD74_RPS11,3.62832
TCGA_CU_A0YN_01A,CD74_RPL28,3.20706
TCGA_CU_A0YN_01A,CD74_RPS27,3.39394
TCGA_CU_A0YN_01A,CD74_DOCK4,2.19948
TCGA_CU_A0YN_01A,CD74_EIF5B,2.84866
TCGA_CU_A0YN_01A,CD74_MRPL9,2.96013
TCGA_CU_A0YN_01A,CD74_RPL3,3.35594
TCGA_CU_A0YN_01A,CD74_RPL31,3.23917
TCGA_CU_A0YN_01A,CD74_FLT3LG,1.86697
TCGA_CU_A0YN_01A,CD74_RPL37,3.25194
TCGA_CU_A0YN_01A,CD74_MRPL27,2.83071
TCGA_CU_A0YN_01A,CD74_RPL35A,3.4739
TCGA_CU_A0YN_01A,CD74_MRPL19,2.69641
TCGA_CU_A0YN_01A,CD74_RPS26,3.22155
TCGA_CU_A0YN_01A,CD74_RPL18A,3.38326
TCGA_CU_A0YN_01A,CD74_EIF1AX,2.75985
TCGA_CU_A0YN_01A,CD74_EEF2,3.46766
TCGA_CU_A0YN_01A,CD74_HLA-DRA,3.67104
TCGA_CU_A0YN_01A,CD74_RPL21,3.45556
TCGA_CU_A0YN_01A,CD74_RPL39L,2.11208
TCGA_CU_A0YN_01A,CD74_RPL14,3.16425
TCGA_CU_A0YN_01A,CD74_DDT,1.89085
TCGA_CU_A0YN_01A,CD74_FANCE,2.61149
TCGA_CU_A0YN_01A,CD74_RPS29,3.08317
TCGA_CU_A0YN_01A,AKT1S1_RB1CC1,1.27406
TCGA_CU_A0YN_01A,ATG10_RB1CC1,1.12356
TCGA_CU_A0YN_01A,ATG101_RB1CC1,1.4169
TCGA_CU_A0YN_01A,ATG12_RB1CC1,1.34242
TCGA_CU_A0YN_01A,ATG13_RB1CC1,1.61882
TCGA_CU_A0YN_01A,ATG14_RB1CC1,1.4014
TCGA_CU_A0YN_01A,ATG16L1_RB1CC1,1.38973
TCGA_CU_A0YN_01A,ATG16L2_RB1CC1,1.15711
TCGA_CU_A0YN_01A,ATG3_RB1CC1,1.36742
TCGA_CU_A0YN_01A,ATG5_RB1CC1,1.42812
TCGA_CU_A0YN_01A,ATG7_RB1CC1,1.17639
TCGA_CU_A0YN_01A,BECN1_RB1CC1,1.39352
TCGA_CU_A0YN_01A,BECN2_RB1CC1,0.72616
TCGA_CU_A0YN_01A,C9orf72_RB1CC1,1.14318
TCGA_CU_A0YN_01A,CALCOCO2_RB1CC1,1.49773
TCGA_CU_A0YN_01A,CCPG1_RB1CC1,0.94491
TCGA_CU_A0YN_01A,GABARAP_RB1CC1,0.85093
TCGA_CU_A0YN_01A,GABARAPL1_RB1CC1,1.45157
TCGA_CU_A0YN_01A,GABARAPL2_RB1CC1,2.00032
TCGA_CU_A0YN_01A,MAP3K5_RB1CC1,1.74719
TCGA_CU_A0YN_01A,MTOR_RB1CC1,1.79824
TCGA_CU_A0YN_01A,NBR1_RB1CC1,1.44782
TCGA_CU_A0YN_01A,NRBF2_RB1CC1,1.65975
TCGA_CU_A0YN_01A,OPTN_RB1CC1,1.73241
TCGA_CU_A0YN_01A,PIK3C3_RB1CC1,1.164
TCGA_CU_A0YN_01A,PIK3R4_RB1CC1,1.38963
TCGA_CU_A0YN_01A,PTK2_RB1CC1,1.34068
TCGA_CU_A0YN_01A,PTK2B_RB1CC1,1.24466
TCGA_CU_A0YN_01A,RB1CC1_ULK2,1.1581
TCGA_CU_A0YN_01A,RB1CC1_ULK1,1.65273
TCGA_CU_A0YN_01A,RB1CC1_SQSTM1,1.49451
TCGA_CU_A0YN_01A,RB1CC1_TP53,1.10965
TCGA_CU_A0YN_01A,RB1CC1_WIPI2,1.46783
TCGA_CU_A0YN_01A,RB1CC1_RPTOR,1.28011
TCGA_CU_A0YN_01A,ALDH1A1_CYP26B1,0.28556
TCGA_CU_A0YN_01A,ALDH1A2_CYP26B1,0.26398
TCGA_CU_A0YN_01A,ALDH1A3_CYP26B1,0.43947
TCGA_CU_A0YN_01A,AOX1_CYP26B1,0.18869
TCGA_CU_A0YN_01A,CYP1A1_CYP26B1,0.26625
TCGA_CU_A0YN_01A,CYP1A2_CYP26B1,0.11371
TCGA_CU_A0YN_01A,CYP26A1_CYP26B1,0.11014
TCGA_CU_A0YN_01A,CYP26B1_CYP2C9,0.11436
TCGA_CU_A0YN_01A,CYP26B1_CYP4A22,0.1097
TCGA_CU_A0YN_01A,CYP26B1_CYP3A7,0.11175
TCGA_CU_A0YN_01A,CYP26B1_CYP3A5,0.13542
TCGA_CU_A0YN_01A,CYP26B1_CYP2C8,0.11409
TCGA_CU_A0YN_01A,CYP26B1_CYP2S1,0.19233
TCGA_CU_A0YN_01A,CYP26B1_CYP26C1,0.11145
TCGA_CU_A0YN_01A,CYP26B1_CYP3A7-CYP3A51P,0.11313
TCGA_CU_A0YN_01A,CYP26B1_CYP3A4,0.11662
TCGA_CU_A0YN_01A,CYP26B1_CYP2C18,0.1655
TCGA_CU_A0YN_01A,CYP26B1_CYP2A6,0.11671
TCGA_CU_A0YN_01A,CYP26B1_CYP2B6,0.11552
TCGA_CU_A0YN_01A,CYP26B1_CYP4A11,0.10018
TCGA_CU_A0YN_01A,CYP26B1_STRA8,0.10815
TCGA_CU_A0YN_01A,ANPEP_RTN4R,0.26549
TCGA_CU_A0YN_01A,LINGO1_RTN4R,0.09487
TCGA_CU_A0YN_01A,MAG_RTN4R,0.07698
TCGA_CU_A0YN_01A,NGFR_RTN4R,0.11356
TCGA_CU_A0YN_01A,OMG_RTN4R,0.11415
TCGA_CU_A0YN_01A,RTN4_RTN4R,0.33056
TCGA_CU_A0YN_01A,RTN4R_TNFRSF19,0.1808
TCGA_CU_A0YN_01A,APC_DVL2,0.90671
TCGA_CU_A0YN_01A,APC2_DVL2,0.54713
TCGA_CU_A0YN_01A,ARRB1_DVL2,0.67102
TCGA_CU_A0YN_01A,ARRB2_DVL2,1.20761
TCGA_CU_A0YN_01A,AXIN1_DVL2,0.90453
TCGA_CU_A0YN_01A,AXIN2_DVL2,0.70422
TCGA_CU_A0YN_01A,BAMBI_DVL2,0.83888
TCGA_CU_A0YN_01A,CSNK1E_DVL2,1.35231
TCGA_CU_A0YN_01A,CSNK2A1_DVL2,0.95995
TCGA_CU_A0YN_01A,CSNK2A2_DVL2,0.84466
TCGA_CU_A0YN_01A,CSNK2A3_DVL2,0.51326
TCGA_CU_A0YN_01A,CSNK2B_DVL2,0.96357
TCGA_CU_A0YN_01A,CTNNB1_DVL2,1.63915
TCGA_CU_A0YN_01A,CXXC4_DVL2,0.52446
TCGA_CU_A0YN_01A,DAAM1_DVL2,1.13176
TCGA_CU_A0YN_01A,DAAM2_DVL2,0.60961
TCGA_CU_A0YN_01A,DACT1_DVL2,0.82706
TCGA_CU_A0YN_01A,DVL1_DVL2,1.33836
TCGA_CU_A0YN_01A,DVL2_GNAQ,1.01623
TCGA_CU_A0YN_01A,DVL2_FRAT1,0.75927
TCGA_CU_A0YN_01A,DVL2_NOTCH3,1.23801
TCGA_CU_A0YN_01A,DVL2_WNT3A,0.52053
TCGA_CU_A0YN_01A,DVL2_VANGL1,1.23037
TCGA_CU_A0YN_01A,DVL2_DVL3,1.30562
TCGA_CU_A0YN_01A,DVL2_FZD5,0.74622
TCGA_CU_A0YN_01A,DVL2_FRAT2,0.9892
TCGA_CU_A0YN_01A,DVL2_NOTCH1,1.04741
TCGA_CU_A0YN_01A,DVL2_NKD2,0.87195
TCGA_CU_A0YN_01A,DVL2_PRICKLE1,0.74438
TCGA_CU_A0YN_01A,DVL2_WWTR1,1.03063
TCGA_CU_A0YN_01A,DVL2_FZD4,0.80252
TCGA_CU_A0YN_01A,DVL2_PRICKLE3,0.90236
TCGA_CU_A0YN_01A,DVL2_FZD7,0.99714
TCGA_CU_A0YN_01A,DVL2_FZD2,0.91324
TCGA_CU_A0YN_01A,DVL2_NOTCH2,1.16047
TCGA_CU_A0YN_01A,DVL2_NKD1,0.83525
TCGA_CU_A0YN_01A,DVL2_LRP6,0.98422
TCGA_CU_A0YN_01A,DVL2_FZD8,0.64516
TCGA_CU_A0YN_01A,DVL2_FZD1,0.89111
TCGA_CU_A0YN_01A,DVL2_GSK3B,0.98588
TCGA_CU_A0YN_01A,DVL2_WNT5A,1.26944
TCGA_CU_A0YN_01A,DVL2_PARD6A,0.76445
TCGA_CU_A0YN_01A,DVL2_SENP2,1.01838
TCGA_CU_A0YN_01A,DVL2_PLK1,1.10778
TCGA_CU_A0YN_01A,DVL2_PRICKLE2,0.72332
TCGA_CU_A0YN_01A,DVL2_NOTCH4,0.73682
TCGA_CU_A0YN_01A,DVL2_FZD6,1.18695
TCGA_CU_A0YN_01A,DVL2_PRICKLE4,0.5516
TCGA_CU_A0YN_01A,DVL2_VANGL2,0.9544
TCGA_CU_A0YN_01A,DVL2_INVS,0.84237
TCGA_CU_A0YN_01A,DVL2_FZD9,0.52528
TCGA_CU_A0YN_01A,ARF5_RAB11FIP3,0.367
TCGA_CU_A0YN_01A,ARMC8_RANBP9,0.35279
TCGA_CU_A0YN_01A,DDX4_RANBP9,0.11066
TCGA_CU_A0YN_01A,GID4_RANBP9,0.20835
TCGA_CU_A0YN_01A,GID8_RANBP9,0.25041
TCGA_CU_A0YN_01A,L1CAM_RANBP9,0.21179
TCGA_CU_A0YN_01A,MAEA_RANBP9,0.22225
TCGA_CU_A0YN_01A,MKLN1_RANBP9,0.20616
TCGA_CU_A0YN_01A,MPHOSPH8_RANBP9,0.23809
TCGA_CU_A0YN_01A,RANBP10_RANBP9,0.34942
TCGA_CU_A0YN_01A,RANBP9_WDR26,0.39601
TCGA_CU_A0YN_01A,RANBP9_YPEL5,0.41014
TCGA_CU_A0YN_01A,RANBP9_RMND5A,0.38513
TCGA_CU_A0YN_01A,ARNTL_CRY1,1.05388
TCGA_CU_A0YN_01A,BHLHE40_CRY1,1.68772
TCGA_CU_A0YN_01A,BHLHE41_CRY1,1.07199
TCGA_CU_A0YN_01A,CLOCK_CRY1,0.99278
TCGA_CU_A0YN_01A,CRY1_PRKAG3,0.54572
TCGA_CU_A0YN_01A,CRY1_PRH2,0.55432
TCGA_CU_A0YN_01A,CRY1_PRH1,0.53671
TCGA_CU_A0YN_01A,CRY1_NPAS2,0.94628
TCGA_CU_A0YN_01A,CRY1_NFIL3,1.47733
TCGA_CU_A0YN_01A,CRY1_CRY2,1.04941
TCGA_CU_A0YN_01A,CRY1_NR1D1,1.23979
TCGA_CU_A0YN_01A,CRY1_PRKAB2,1.09327
TCGA_CU_A0YN_01A,CRY1_TIMELESS,1.36832
TCGA_CU_A0YN_01A,CRY1_CSNK1D,1.29923
