Sample,link,miRW-Flow
TCGA_CU_A0YN_01A,ENOPH1_MRI1,0.81552
TCGA_CU_A0YN_01A,MRI1_MTAP,0.49194
TCGA_CU_A0YN_01A,ADRM1_PSMA4,0.61391
TCGA_CU_A0YN_01A,AKIRIN2_PSMA4,0.85786
TCGA_CU_A0YN_01A,CHRNA3_PSMA4,0.21472
TCGA_CU_A0YN_01A,CHRNA5_PSMA4,0.3377
TCGA_CU_A0YN_01A,CHRNB4_PSMA4,0.20464
TCGA_CU_A0YN_01A,DESI1_PSMA4,0.53629
TCGA_CU_A0YN_01A,POMP_PSMA4,0.65827
TCGA_CU_A0YN_01A,PSMA1_PSMA4,0.50101
TCGA_CU_A0YN_01A,PSMA2_PSMA4,0.66835
TCGA_CU_A0YN_01A,PSMA3_PSMA4,0.60282
TCGA_CU_A0YN_01A,PSMA4_PSME2,0.61593
TCGA_CU_A0YN_01A,PSMA4_UBC,0.86895
TCGA_CU_A0YN_01A,PSMA4_PSMD8,0.61089
TCGA_CU_A0YN_01A,PSMA4_PSMC6,0.55141
TCGA_CU_A0YN_01A,PSMA4_PSMB3,0.89415
TCGA_CU_A0YN_01A,PSMA4_PSMC1,0.50202
TCGA_CU_A0YN_01A,PSMA4_PSMB8,0.5504
TCGA_CU_A0YN_01A,PSMA4_PSMD14,0.84476
TCGA_CU_A0YN_01A,PSMA4_PSMB9,0.50706
TCGA_CU_A0YN_01A,PSMA4_PSMD1,0.53327
TCGA_CU_A0YN_01A,PSMA4_PSMB2,0.62298
TCGA_CU_A0YN_01A,PSMA4_PSMA5,0.64617
TCGA_CU_A0YN_01A,PSMA4_PSMD2,0.9002
TCGA_CU_A0YN_01A,PSMA4_PSMA8,0.23387
TCGA_CU_A0YN_01A,PSMA4_PSMD7,0.5494
TCGA_CU_A0YN_01A,PSMA4_PSMB1,0.65323
TCGA_CU_A0YN_01A,PSMA4_PSMD13,0.62601
TCGA_CU_A0YN_01A,PSMA4_PSMA6,0.3619
TCGA_CU_A0YN_01A,PSMA4_RPS27A,0.83266
TCGA_CU_A0YN_01A,PSMA4_PSMD12,0.5998
TCGA_CU_A0YN_01A,PSMA4_UBQLN4,0.58972
TCGA_CU_A0YN_01A,PSMA4_PSMB6,0.89919
TCGA_CU_A0YN_01A,PSMA4_PSME1,0.65222
TCGA_CU_A0YN_01A,PSMA4_PSMB4,0.89214
TCGA_CU_A0YN_01A,PSMA4_PSMB5,0.66028
TCGA_CU_A0YN_01A,PSMA4_PSMD6,0.52419
TCGA_CU_A0YN_01A,PSMA4_PSMB7,0.6623
TCGA_CU_A0YN_01A,PSMA4_UCHL5,0.51613
TCGA_CU_A0YN_01A,PSMA4_PSMF1,0.55948
TCGA_CU_A0YN_01A,PSMA4_PSMB10,0.49093
TCGA_CU_A0YN_01A,PSMA4_UBB,0.86694
TCGA_CU_A0YN_01A,PSMA4_PSMG2,0.60988
TCGA_CU_A0YN_01A,PSMA4_PSMD3,0.62198
TCGA_CU_A0YN_01A,PSMA4_USP14,0.57762
TCGA_CU_A0YN_01A,PSMA4_PSMD4,0.60887
TCGA_CU_A0YN_01A,PSMA4_PSMC2,0.55444
TCGA_CU_A0YN_01A,PSMA4_PSMA7,0.90121
TCGA_CU_A0YN_01A,PSMA4_PSMC3,0.66331
TCGA_CU_A0YN_01A,PSMA4_PSMC4,0.62802
TCGA_CU_A0YN_01A,PSMA4_PSMC5,0.6371
TCGA_CU_A0YN_01A,PSMA4_PSME4,0.85282
TCGA_CU_A0YN_01A,PSMA4_UBA52,0.74899
TCGA_CU_A0YN_01A,PSMA4_PSMD11,0.59879
TCGA_CU_A0YN_01A,AHSA1_FKBP4,0.65524
TCGA_CU_A0YN_01A,AKT1_FKBP4,0.84577
TCGA_CU_A0YN_01A,AR_FKBP4,0.30746
TCGA_CU_A0YN_01A,DNAJB1_FKBP4,0.62903
TCGA_CU_A0YN_01A,FKBP4_STIP1,0.68044
TCGA_CU_A0YN_01A,FKBP4_NR3C2,0.29637
TCGA_CU_A0YN_01A,FKBP4_FKBP5,0.50504
TCGA_CU_A0YN_01A,FKBP4_HSPA8,0.86794
TCGA_CU_A0YN_01A,FKBP4_GLMN,0.5756
TCGA_CU_A0YN_01A,FKBP4_MTOR,0.72077
TCGA_CU_A0YN_01A,FKBP4_PTGES3,0.85685
TCGA_CU_A0YN_01A,FKBP4_PPID,0.56048
TCGA_CU_A0YN_01A,FKBP4_HSP90AB1,0.80948
TCGA_CU_A0YN_01A,FKBP4_HSPA4,0.64718
TCGA_CU_A0YN_01A,FKBP4_NR3C1,0.75101
TCGA_CU_A0YN_01A,FKBP4_HSP90AA1,0.81956
TCGA_CU_A0YN_01A,FKBP4_PGR,0.3004
TCGA_CU_A0YN_01A,FKBP4_PHLPP1,0.49698
TCGA_CU_A0YN_01A,AKAP11_PRKACA,0.26613
TCGA_CU_A0YN_01A,AKAP11_PRKACB,0.21169
TCGA_CU_A0YN_01A,CFTR_PRKACA,0.20867
TCGA_CU_A0YN_01A,GABARAPL2_PRKACA,0.38508
TCGA_CU_A0YN_01A,CFTR_PRKACB,0.1502
TCGA_CU_A0YN_01A,GABARAPL2_PRKACB,0.32056
TCGA_CU_A0YN_01A,AKNAD1_CD74,0.59778
TCGA_CU_A0YN_01A,APP_CD74,0.84375
TCGA_CU_A0YN_01A,CD44_CD74,0.9254
TCGA_CU_A0YN_01A,CD74_RPL30,0.79435
TCGA_CU_A0YN_01A,CD74_RPS17,0.6875
TCGA_CU_A0YN_01A,CD74_MRPL36,0.75504
TCGA_CU_A0YN_01A,CD74_HLA-DPB1,0.7873
TCGA_CU_A0YN_01A,CD74_RSAD1,0.70464
TCGA_CU_A0YN_01A,CD74_RPL4,0.91835
TCGA_CU_A0YN_01A,CD74_RPS7,0.90524
TCGA_CU_A0YN_01A,CD74_RPLP1,0.89819
TCGA_CU_A0YN_01A,CD74_HLA-DQB1,0.77319
TCGA_CU_A0YN_01A,CD74_RPS5,0.91935
TCGA_CU_A0YN_01A,CD74_HLA-DOA,0.6996
TCGA_CU_A0YN_01A,CD74_RPL26L1,0.75202
TCGA_CU_A0YN_01A,CD74_MRPL33,0.74395
TCGA_CU_A0YN_01A,CD74_RPS28,0.90423
TCGA_CU_A0YN_01A,CD74_RPS25,0.90927
TCGA_CU_A0YN_01A,CD74_MED1,0.8619
TCGA_CU_A0YN_01A,CD74_CXCR4,0.89617
TCGA_CU_A0YN_01A,CD74_RPL10A,0.94254
TCGA_CU_A0YN_01A,CD74_HLA-DQA2,0.80544
TCGA_CU_A0YN_01A,CD74_MRPL12,0.71573
TCGA_CU_A0YN_01A,CD74_MRPL21,0.74194
TCGA_CU_A0YN_01A,CD74_RPL8,0.98589
TCGA_CU_A0YN_01A,CD74_RPS20,0.96169
TCGA_CU_A0YN_01A,CD74_MRPS9,0.69657
TCGA_CU_A0YN_01A,CD74_CTSS,0.77823
TCGA_CU_A0YN_01A,CD74_RPL23A,0.79738
TCGA_CU_A0YN_01A,CD74_RPL17,0.68246
TCGA_CU_A0YN_01A,CD74_HLA-DQB2,0.75605
TCGA_CU_A0YN_01A,CD74_RPS8,0.91532
TCGA_CU_A0YN_01A,CD74_MRPL17,0.76714
TCGA_CU_A0YN_01A,CD74_RPL22L1,0.72379
TCGA_CU_A0YN_01A,CD74_RPS15,0.80847
TCGA_CU_A0YN_01A,CD74_RPS2,0.91633
TCGA_CU_A0YN_01A,CD74_RPL24,0.90827
TCGA_CU_A0YN_01A,CD74_RPL37A,0.79536
TCGA_CU_A0YN_01A,CD74_MRPS6,0.70363
TCGA_CU_A0YN_01A,CD74_UBA52,0.88306
TCGA_CU_A0YN_01A,CD74_RPS6,0.92137
TCGA_CU_A0YN_01A,CD74_RPL26,0.72782
TCGA_CU_A0YN_01A,CD74_LGMN,0.76411
TCGA_CU_A0YN_01A,CD74_TUFM,0.94859
TCGA_CU_A0YN_01A,CD74_RPS24,0.9496
TCGA_CU_A0YN_01A,CD74_RPL11,0.97681
TCGA_CU_A0YN_01A,CD74_RPS27L,0.69556
TCGA_CU_A0YN_01A,CD74_RPS21,0.97883
TCGA_CU_A0YN_01A,CD74_RPL9,0.8256
TCGA_CU_A0YN_01A,CD74_RPL18,0.95464
TCGA_CU_A0YN_01A,CD74_HLA-DMA,0.76512
TCGA_CU_A0YN_01A,CD74_RPL7,0.94153
TCGA_CU_A0YN_01A,CD74_IMP3,0.7248
TCGA_CU_A0YN_01A,CD74_MRPL32,0.76915
TCGA_CU_A0YN_01A,CD74_RPL13,0.95363
TCGA_CU_A0YN_01A,CD74_MIF,0.82157
TCGA_CU_A0YN_01A,CD74_RPL6,0.96573
TCGA_CU_A0YN_01A,CD74_RPL36,0.96472
TCGA_CU_A0YN_01A,CD74_RPL27A,0.95565
TCGA_CU_A0YN_01A,CD74_HLA-DQA1,0.7631
TCGA_CU_A0YN_01A,CD74_RPS10,0.63105
TCGA_CU_A0YN_01A,CD74_HLA-DRB1,0.92641
TCGA_CU_A0YN_01A,CD74_RPL7A,0.98085
TCGA_CU_A0YN_01A,CD74_RPL23,0.84173
TCGA_CU_A0YN_01A,CD74_RPL7L1,0.74496
TCGA_CU_A0YN_01A,CD74_RPS19,0.97077
TCGA_CU_A0YN_01A,CD74_MRPS16,0.8004
TCGA_CU_A0YN_01A,CD74_RACK1,0.96371
TCGA_CU_A0YN_01A,CD74_RPL15,0.82258
TCGA_CU_A0YN_01A,CD74_RPL35,0.97782
TCGA_CU_A0YN_01A,CD74_RPSA,0.95766
TCGA_CU_A0YN_01A,CD74_RPS12,0.9869
TCGA_CU_A0YN_01A,CD74_RPL19,0.96976
TCGA_CU_A0YN_01A,CD74_RPS16,0.96774
TCGA_CU_A0YN_01A,CD74_RPL5,0.92036
TCGA_CU_A0YN_01A,CD74_RPL34,0.83569
TCGA_CU_A0YN_01A,CD74_RPS18,0.98488
TCGA_CU_A0YN_01A,CD74_RPL10,0.93851
TCGA_CU_A0YN_01A,CD74_CXCR2,0.82359
TCGA_CU_A0YN_01A,CD74_RPL12,0.9748
TCGA_CU_A0YN_01A,CD74_CTSB,0.94052
TCGA_CU_A0YN_01A,CD74_RPLP2,0.94657
TCGA_CU_A0YN_01A,CD74_IFI35,0.73992
TCGA_CU_A0YN_01A,CD74_RPS9,0.95161
TCGA_CU_A0YN_01A,CD74_RPL38,0.95262
TCGA_CU_A0YN_01A,CD74_RPL39,0.79133
TCGA_CU_A0YN_01A,CD74_RPL13A,0.94456
TCGA_CU_A0YN_01A,CD74_RPL10L,0.55242
TCGA_CU_A0YN_01A,CD74_RPS23,0.79234
TCGA_CU_A0YN_01A,CD74_RSRC1,0.7127
TCGA_CU_A0YN_01A,CD74_MRPL20,0.78327
TCGA_CU_A0YN_01A,CD74_HLA-DMB,0.70766
TCGA_CU_A0YN_01A,CD74_FAU,0.97278
TCGA_CU_A0YN_01A,CD74_PDCD11,0.76109
TCGA_CU_A0YN_01A,CD74_RPL22,0.73185
TCGA_CU_A0YN_01A,CD74_RPL29,0.96875
TCGA_CU_A0YN_01A,CD74_RPL27,0.97379
TCGA_CU_A0YN_01A,CD74_RPLP0,0.97984
TCGA_CU_A0YN_01A,CD74_RPL32,0.95968
TCGA_CU_A0YN_01A,CD74_EIF1AY,0.71169
TCGA_CU_A0YN_01A,CD74_RPS27A,0.90323
TCGA_CU_A0YN_01A,CD74_HLA-DOB,0.64516
TCGA_CU_A0YN_01A,CD74_RPS3A,0.83065
TCGA_CU_A0YN_01A,CD74_HLA-DRB5,0.8125
TCGA_CU_A0YN_01A,CD74_CTSL,0.9506
TCGA_CU_A0YN_01A,CD74_RPS13,0.97177
TCGA_CU_A0YN_01A,CD74_RPS3,0.97581
TCGA_CU_A0YN_01A,CD74_RPL3L,0.55746
TCGA_CU_A0YN_01A,CD74_HLA-DPA1,0.79335
TCGA_CU_A0YN_01A,CD74_MRNIP,0.64415
TCGA_CU_A0YN_01A,CD74_RPS11,0.98387
TCGA_CU_A0YN_01A,CD74_RPL28,0.8246
TCGA_CU_A0YN_01A,CD74_RPS27,0.94758
TCGA_CU_A0YN_01A,CD74_DOCK4,0.6502
TCGA_CU_A0YN_01A,CD74_EIF5B,0.75706
TCGA_CU_A0YN_01A,CD74_MRPL9,0.77923
TCGA_CU_A0YN_01A,CD74_RPL3,0.94355
TCGA_CU_A0YN_01A,CD74_RPL31,0.83367
TCGA_CU_A0YN_01A,CD74_FLT3LG,0.80444
TCGA_CU_A0YN_01A,CD74_RPL37,0.83669
TCGA_CU_A0YN_01A,CD74_MRPL27,0.75302
TCGA_CU_A0YN_01A,CD74_RPL35A,0.9627
TCGA_CU_A0YN_01A,CD74_MRPL19,0.72177
TCGA_CU_A0YN_01A,CD74_RPS26,0.82762
TCGA_CU_A0YN_01A,CD74_RPL18A,0.94556
TCGA_CU_A0YN_01A,CD74_EIF1AX,0.73286
TCGA_CU_A0YN_01A,CD74_EEF2,0.96069
TCGA_CU_A0YN_01A,CD74_HLA-DRA,0.92843
TCGA_CU_A0YN_01A,CD74_RPL21,0.95867
TCGA_CU_A0YN_01A,CD74_RPL39L,0.625
TCGA_CU_A0YN_01A,CD74_RPL14,0.81351
TCGA_CU_A0YN_01A,CD74_DDT,0.56452
TCGA_CU_A0YN_01A,CD74_FANCE,0.90625
TCGA_CU_A0YN_01A,CD74_RPS29,0.79839
TCGA_CU_A0YN_01A,AKT1S1_RB1CC1,0.38206
TCGA_CU_A0YN_01A,ATG10_RB1CC1,0.28024
TCGA_CU_A0YN_01A,ATG101_RB1CC1,0.42742
TCGA_CU_A0YN_01A,ATG12_RB1CC1,0.37097
TCGA_CU_A0YN_01A,ATG13_RB1CC1,0.45766
TCGA_CU_A0YN_01A,ATG14_RB1CC1,0.39819
TCGA_CU_A0YN_01A,ATG16L1_RB1CC1,0.39315
TCGA_CU_A0YN_01A,ATG16L2_RB1CC1,0.33871
TCGA_CU_A0YN_01A,ATG3_RB1CC1,0.38105
TCGA_CU_A0YN_01A,ATG5_RB1CC1,0.66431
TCGA_CU_A0YN_01A,ATG7_RB1CC1,0.30343
TCGA_CU_A0YN_01A,BECN1_RB1CC1,0.39415
TCGA_CU_A0YN_01A,BECN2_RB1CC1,0.14516
TCGA_CU_A0YN_01A,C9orf72_RB1CC1,0.33367
TCGA_CU_A0YN_01A,CALCOCO2_RB1CC1,0.4244
TCGA_CU_A0YN_01A,CCPG1_RB1CC1,0.23085
TCGA_CU_A0YN_01A,GABARAP_RB1CC1,0.16935
TCGA_CU_A0YN_01A,GABARAPL1_RB1CC1,0.4123
TCGA_CU_A0YN_01A,GABARAPL2_RB1CC1,0.45565
TCGA_CU_A0YN_01A,MAP3K5_RB1CC1,0.43548
TCGA_CU_A0YN_01A,MTOR_RB1CC1,0.68548
TCGA_CU_A0YN_01A,NBR1_RB1CC1,0.40726
TCGA_CU_A0YN_01A,NRBF2_RB1CC1,0.49798
TCGA_CU_A0YN_01A,OPTN_RB1CC1,0.68851
TCGA_CU_A0YN_01A,PIK3C3_RB1CC1,0.2994
TCGA_CU_A0YN_01A,PIK3R4_RB1CC1,0.39516
TCGA_CU_A0YN_01A,PTK2_RB1CC1,0.77621
TCGA_CU_A0YN_01A,PTK2B_RB1CC1,0.75
TCGA_CU_A0YN_01A,RB1CC1_ULK2,0.29435
TCGA_CU_A0YN_01A,RB1CC1_ULK1,0.46976
TCGA_CU_A0YN_01A,RB1CC1_SQSTM1,0.42238
TCGA_CU_A0YN_01A,RB1CC1_TP53,0.6744
TCGA_CU_A0YN_01A,RB1CC1_WIPI2,0.42036
TCGA_CU_A0YN_01A,RB1CC1_RPTOR,0.38407
TCGA_CU_A0YN_01A,ALDH1A1_CYP26B1,0.69254
TCGA_CU_A0YN_01A,ALDH1A2_CYP26B1,0.38306
TCGA_CU_A0YN_01A,ALDH1A3_CYP26B1,0.85484
TCGA_CU_A0YN_01A,AOX1_CYP26B1,0.21875
TCGA_CU_A0YN_01A,CYP1A1_CYP26B1,0.57157
TCGA_CU_A0YN_01A,CYP1A2_CYP26B1,0.19355
TCGA_CU_A0YN_01A,CYP26A1_CYP26B1,0.17742
TCGA_CU_A0YN_01A,CYP26B1_CYP2C9,0.19052
TCGA_CU_A0YN_01A,CYP26B1_CYP4A22,0.16835
TCGA_CU_A0YN_01A,CYP26B1_CYP3A7,0.17944
TCGA_CU_A0YN_01A,CYP26B1_CYP3A5,0.24698
TCGA_CU_A0YN_01A,CYP26B1_CYP2C8,0.1875
TCGA_CU_A0YN_01A,CYP26B1_CYP2S1,0.42944
TCGA_CU_A0YN_01A,CYP26B1_CYP26C1,0.16633
TCGA_CU_A0YN_01A,CYP26B1_CYP3A7-CYP3A51P,0.17036
TCGA_CU_A0YN_01A,CYP26B1_CYP3A4,0.18851
TCGA_CU_A0YN_01A,CYP26B1_CYP2C18,0.34778
TCGA_CU_A0YN_01A,CYP26B1_CYP2A6,0.18649
TCGA_CU_A0YN_01A,CYP26B1_CYP2B6,0.1754
TCGA_CU_A0YN_01A,CYP26B1_CYP4A11,0.16734
TCGA_CU_A0YN_01A,CYP26B1_STRA8,0.17339
TCGA_CU_A0YN_01A,ANPEP_RTN4R,0.66633
TCGA_CU_A0YN_01A,LINGO1_RTN4R,0.15423
TCGA_CU_A0YN_01A,MAG_RTN4R,0.12198
TCGA_CU_A0YN_01A,NGFR_RTN4R,0.13105
TCGA_CU_A0YN_01A,OMG_RTN4R,0.12702
TCGA_CU_A0YN_01A,RTN4_RTN4R,0.58065
TCGA_CU_A0YN_01A,RTN4R_TNFRSF19,0.24395
TCGA_CU_A0YN_01A,APC_DVL2,0.71069
TCGA_CU_A0YN_01A,APC2_DVL2,0.15222
TCGA_CU_A0YN_01A,ARRB1_DVL2,0.20766
TCGA_CU_A0YN_01A,ARRB2_DVL2,0.47581
TCGA_CU_A0YN_01A,AXIN1_DVL2,0.35181
TCGA_CU_A0YN_01A,AXIN2_DVL2,0.66532
TCGA_CU_A0YN_01A,BAMBI_DVL2,0.30847
TCGA_CU_A0YN_01A,CSNK1E_DVL2,0.46774
TCGA_CU_A0YN_01A,CSNK2A1_DVL2,0.375
TCGA_CU_A0YN_01A,CSNK2A2_DVL2,0.31149
TCGA_CU_A0YN_01A,CSNK2A3_DVL2,0.14415
TCGA_CU_A0YN_01A,CSNK2B_DVL2,0.37903
TCGA_CU_A0YN_01A,CTNNB1_DVL2,0.58669
TCGA_CU_A0YN_01A,CXXC4_DVL2,0.14617
TCGA_CU_A0YN_01A,DAAM1_DVL2,0.45262
TCGA_CU_A0YN_01A,DAAM2_DVL2,0.1744
TCGA_CU_A0YN_01A,DACT1_DVL2,0.30141
TCGA_CU_A0YN_01A,DVL1_DVL2,0.53024
TCGA_CU_A0YN_01A,DVL2_GNAQ,0.40323
TCGA_CU_A0YN_01A,DVL2_FRAT1,0.25706
TCGA_CU_A0YN_01A,DVL2_NOTCH3,0.4879
TCGA_CU_A0YN_01A,DVL2_WNT3A,0.56552
TCGA_CU_A0YN_01A,DVL2_VANGL1,0.48589
TCGA_CU_A0YN_01A,DVL2_DVL3,0.51109
TCGA_CU_A0YN_01A,DVL2_FZD5,0.24798
TCGA_CU_A0YN_01A,DVL2_FRAT2,0.39214
TCGA_CU_A0YN_01A,DVL2_NOTCH1,0.75907
TCGA_CU_A0YN_01A,DVL2_NKD2,0.33065
TCGA_CU_A0YN_01A,DVL2_PRICKLE1,0.24496
TCGA_CU_A0YN_01A,DVL2_WWTR1,0.75403
TCGA_CU_A0YN_01A,DVL2_FZD4,0.28427
TCGA_CU_A0YN_01A,DVL2_PRICKLE3,0.3498
TCGA_CU_A0YN_01A,DVL2_FZD7,0.39617
TCGA_CU_A0YN_01A,DVL2_FZD2,0.35484
TCGA_CU_A0YN_01A,DVL2_NOTCH2,0.46573
TCGA_CU_A0YN_01A,DVL2_NKD1,0.30645
TCGA_CU_A0YN_01A,DVL2_LRP6,0.38911
TCGA_CU_A0YN_01A,DVL2_FZD8,0.19657
TCGA_CU_A0YN_01A,DVL2_FZD1,0.34274
TCGA_CU_A0YN_01A,DVL2_GSK3B,0.39012
TCGA_CU_A0YN_01A,DVL2_WNT5A,0.8377
TCGA_CU_A0YN_01A,DVL2_PARD6A,0.2631
TCGA_CU_A0YN_01A,DVL2_SENP2,0.40524
TCGA_CU_A0YN_01A,DVL2_PLK1,0.43952
TCGA_CU_A0YN_01A,DVL2_PRICKLE2,0.23185
TCGA_CU_A0YN_01A,DVL2_NOTCH4,0.24093
TCGA_CU_A0YN_01A,DVL2_FZD6,0.47379
TCGA_CU_A0YN_01A,DVL2_PRICKLE4,0.15323
TCGA_CU_A0YN_01A,DVL2_VANGL2,0.37198
TCGA_CU_A0YN_01A,DVL2_INVS,0.31048
TCGA_CU_A0YN_01A,DVL2_FZD9,0.14718
TCGA_CU_A0YN_01A,ARF5_RAB11FIP3,0.04536
TCGA_CU_A0YN_01A,ARMC8_RANBP9,0.27016
TCGA_CU_A0YN_01A,DDX4_RANBP9,0.11996
TCGA_CU_A0YN_01A,GID4_RANBP9,0.31754
TCGA_CU_A0YN_01A,GID8_RANBP9,0.41532
TCGA_CU_A0YN_01A,L1CAM_RANBP9,0.73891
TCGA_CU_A0YN_01A,MAEA_RANBP9,0.30242
TCGA_CU_A0YN_01A,MKLN1_RANBP9,0.25605
TCGA_CU_A0YN_01A,MPHOSPH8_RANBP9,0.33468
TCGA_CU_A0YN_01A,RANBP10_RANBP9,0.28931
TCGA_CU_A0YN_01A,RANBP9_WDR26,0.3629
TCGA_CU_A0YN_01A,RANBP9_YPEL5,0.37601
TCGA_CU_A0YN_01A,RANBP9_RMND5A,0.34375
TCGA_CU_A0YN_01A,ARNTL_CRY1,0.23992
TCGA_CU_A0YN_01A,BHLHE40_CRY1,0.82661
TCGA_CU_A0YN_01A,BHLHE41_CRY1,0.25101
TCGA_CU_A0YN_01A,CLOCK_CRY1,0.21976
TCGA_CU_A0YN_01A,CRY1_PRKAG3,0.11492
TCGA_CU_A0YN_01A,CRY1_PRH2,0.11694
TCGA_CU_A0YN_01A,CRY1_PRH1,0.11391
TCGA_CU_A0YN_01A,CRY1_NPAS2,0.20161
TCGA_CU_A0YN_01A,CRY1_NFIL3,0.77218
TCGA_CU_A0YN_01A,CRY1_CRY2,0.23891
TCGA_CU_A0YN_01A,CRY1_NR1D1,0.32863
TCGA_CU_A0YN_01A,CRY1_PRKAB2,0.2379
TCGA_CU_A0YN_01A,CRY1_TIMELESS,0.38004
TCGA_CU_A0YN_01A,CRY1_CSNK1D,0.35585
